Gene_name,Protein_interaction_score,Genetic_interaction_score,Single_cell_score,Cluster_score,Motif_score,Publication_score,Protein_atlas_score,Total_score,Norm_total_score,Weighted_total_scores,Seq
IQCH,0.0142476596248716,0,0.355626078946405,0.479357798165138,0,0.568985814391659,0,15.2247332315424,2.21063549938634,1.41821735112807,134
CEP104,0.161377617835074,0,0.233823462337999,0.479357798165138,0,0.539814610028752,0,20.0712003519059,2.16026570680675,1.41437348836696,135
C4orf47,-0.000283446725417046,0,0.236085180735448,0.479357798165138,0,0.37686838767837,0.321100917431193,14.1234612461754,2.79045480000425,1.41312883728473,136
IQCB1,0.0788380950666785,0,0.236085180735448,0.239678899082569,0,0.536278706469612,0.321100917431193,13.1426798168645,2.55582677549709,1.4119817987855,137
DNAH1,0,0,0.355626078946405,0.0239678899082569,0.161326438081861,0.546002441257248,0.321100917431193,7.81793270560479,2.92215843103808,1.40802376562496,138
WDR54,0,0,0.589449541284404,0.479357798165138,0.127448513024785,0.211564896288561,0,13.536158953627,2.77477835474961,1.40782074876289,139
CROCC,0.0313644145096873,0,0.236085180735448,0.239678899082569,0,0.578709549179295,0.321100917431193,11.8033303470416,2.5395992759435,1.40693896093819,140
DRC7,0,0,0.236085180735448,0.479357798165138,0,0.688911876772501,0,15.5580583367406,2.11397548038474,1.40435485567309,141
AK7,-0.0445920338582116,0,0.355626078946405,0.0239678899082569,0,0.746075650978603,0.321100917431193,6.7056762678844,2.36945905952607,1.40217850340625,142
DNAH9,0.00173478471359262,0,0.355626078946405,0.0239678899082569,0.101909285140353,0.596389066974997,0.321100917431193,7.61807644912215,2.71748025664295,1.4007280231148,143
TCTEX1D4,0.00767669544371908,0,0.355626078946405,0.479357798165138,0,0.232191000383546,0.321100917431193,13.3720761995863,2.85351255508548,1.39595249037,144
INTU,0.0893747173818958,0,0.355626078946405,0.239678899082569,0.127448513024785,0.582245452738436,0,14.3709440162795,2.37526226604633,1.39437366117409,145
WDR60,0.062057773667752,0,0.469908643073447,0.0239678899082569,0,0.834178581327182,0,9.56513041384684,1.78975362732158,1.39011288797664,146
LRRC23,0.00853012307142191,0,0.355626078946405,0.0239678899082569,0,0.679482800614794,0.321100917431193,7.38374218234161,2.3678227876955,1.38870780997207,147
ARMC4,0.00338496947278647,0,0.355626078946405,0.0239678899082569,0,0.680956093764436,0.321100917431193,7.21425769129748,2.36282739042574,1.38503594952308,148
DNAAF5,0.0278429125361564,0,0.355626078946405,0.479357798165138,0,0.521251116343265,0,15.3313115854156,2.1784312327682,1.38407790599096,149
C5orf49,-0.00271335710427778,0,0.355626078946405,0.239678899082569,0,0.469685856105803,0.321100917431193,9.89616920486037,2.58630043523757,1.38337839446169,150
CEP20,0.261266732688426,0,0,0.479357798165138,0,0.481177542673009,0.160550458715596,23.4340281958035,2.32946202939862,1.38235253224217,151
LRRC6,-0.0432564176044285,0,0.355626078946405,0.0239678899082569,0.195479873108061,0.689501194032358,0.160550458715596,7.94072936029025,2.6648539482872,1.38186907710625,152
DNAI2,0.00874884417581734,0,0.236085180735448,0.0239678899082569,0,0.790569104097785,0.321100917431193,8.15703504810266,2.28034335052154,1.3804719363485,153
ZMYND12,0.00846962574467424,0,0.236085180735448,0.479357798165138,0,0.650606254881815,0,15.5577655395515,2.08503980832443,1.37451885952707,154
MLF1,0.0292151288909259,0,0.355626078946405,0.239678899082569,0.127448513024785,0.61730982969991,0,12.528098300779,2.33532718684082,1.36927844964459,155
CFAP299,-0.00823694999989256,0,0.229756197010276,0.479357798165138,0,0.665633845008161,0,15.2060361895286,2.06869110125688,1.36651089018368,156
C1orf194,0,0,0.355626078946405,0.239678899082569,0.127448513024785,0.316463368543057,0.321100917431193,10.1588742654824,2.98673325331563,1.36031777702801,157
C9orf116,0.0460991665644329,0,0.355626078946405,0.239678899082569,0,0.397199833143427,0.321100917431193,11.0077782315623,2.57309881069015,1.35970489516803,158
CFAP157,0.00842724271124226,0,0.229756197010276,0.239678899082569,0.0995762290450931,0.46114075583788,0.321100917431193,11.1707272418937,2.81218528908733,1.35968024111825,159
CEP97,0.269491121719099,0,0.236085180735448,0.0239678899082569,0,0.508875453886274,0.321100917431193,15.1345450342274,2.31908878679876,1.35952056368027,160
ARL3,0.222633479141003,0,0.236085180735448,0.0239678899082569,0,0.790569104097785,0.0802752293577982,14.9292466214065,1.80142969018672,1.35353088324029,161
ERICH3,0,0,0.355626078946405,0.239678899082569,0,0.43609477229397,0.321100917431193,9.68924676949757,2.5549515418373,1.35250066775414,162
AK8,0,0,0.355626078946405,0.0239678899082569,0.0656983039880169,0.584602721777862,0.321100917431193,7.06731742597554,2.54519535381645,1.35099591205173,163
SPATA4,-0.0043596979341298,0,0.236085180735448,0.479357798165138,0,0.633221395716042,0,15.036930959811,2.05077511425227,1.3443046766825,164
CCP110,0.235526175916483,0,0.236085180735448,0.239678899082569,0.0680313600832766,0.484124128972292,0.0802752293577982,18.2451055602547,2.24702372156461,1.34372097414787,165
DRC3,0.0183509119745658,0,0.229756197010276,0.0239678899082569,0,0.7502008717976,0.321100917431193,8.17526899186039,2.23996977425701,1.34337678812189,166
RIBC1,0.0189558290476042,0,0.236085180735448,0.479357798165138,0.163659494177121,0.444345213931964,0,16.1198798612907,2.59827584680544,1.34240351605727,167
DYNLRB2,0.190287360824027,0,0.355626078946405,0.0239678899082569,0.0680313600832766,0.702760832379134,0,13.7049931226282,1.91891366454764,1.3406735221411,168
CEP83,0.0639759230356643,0,0.355626078946405,0.239678899082569,0.0680313600832766,0.611711315731271,0,13.0539698339903,2.11452769965512,1.33902357687919,169
BBIP1,0.244334784080187,0,0.469908643073447,0.239678899082569,0,0.384234853426579,0,16.9734246627786,2.00480416340553,1.33815717966278,170
